Pixels,GPU+CPU6+Mem12,CPU6+Mem12,CPU4+Mem8,CPU3+Mem6,CPU2+Mem4,CPU1+Mem2
102400,0.253,0.8436,0.8066,1.0217,1.2632,3.3194
204800,0.6354,0.9507,0.9292,1.0982,1.7203,3.3674
409600,0.9817,1.6451,1.5322,1.8135,2.1208,3.8623
614400,1.2164,1.614,1.5624,2.1597,2.3668,4.399
921600,1.6972,1.9071,1.9296,2.589,3.0489,4.6933
1228800,2.3888,2.5213,2.2963,3.1999,3.4129,5.0873
1638400,2.3292,3.3808,3.3531,3.4214,3.2303,5.3519
2048000,3.5905,3.2856,3.27,4.1666,4.1716,5.9667
2560000,4.12,3.8631,3.9371,4.0706,4.9881,6.4916
3072000,5.3297,5.2346,5.1461,5.599,5.6076,7.3509
