Pixels,GPU+CPU8+Mem16,CPU6+Mem12,CPU4+Mem8,CPU3+Mem6,CPU2+Mem4,CPU1+Mem2
496,0.0743,0.0745,0.0752,0.0777,0.0772,0.0753
2016,0.0751,0.0758,0.0755,0.0785,0.0774,0.0782
4512,0.0756,0.077,0.0807,0.0809,0.0802,0.0813
8064,0.0758,0.0783,0.0811,0.0822,0.0812,0.0818
12560,0.076,0.0797,0.0812,0.0825,0.0821,0.0832
18144,0.0769,0.0802,0.0813,0.0825,0.0827,0.0836
24640,0.0777,0.0804,0.0824,0.0838,0.083,0.0839
31877,0.0794,0.0809,0.0841,0.0846,0.0848,0.084
40752,0.0809,0.0812,0.0845,0.0848,0.0851,0.0846
49926,0.0826,0.0819,0.0846,0.0848,0.0856,0.0852
60550,0.0828,0.0841,0.0847,0.086,0.0859,0.0856
72576,0.0838,0.0843,0.0851,0.0863,0.0868,0.0857
85072,0.084,0.0853,0.0852,0.0868,0.0871,0.086
98784,0.0841,0.0882,0.0864,0.087,0.0872,0.0861
113280,0.0849,0.0884,0.0864,0.0875,0.0894,0.0864
128265,0.085,0.089,0.0888,0.088,0.0977,0.0867
145520,0.088,0.0891,0.0919,0.089,0.0988,0.0869
163296,0.0898,0.0904,0.092,0.0912,0.1034,0.0878
181792,0.0922,0.0933,0.0938,0.0941,0.1043,0.0884
201600,0.0948,0.0977,0.0942,0.0943,0.1069,0.1108
